wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
4.0,3.0,0.0,8.0,12.0,0.0,2.0,6.0,4.0,0.625,182.0,1.0,1.0,0.833333,0.325,1.0,4.0,42.5,12.0,3.5,-1.0
47.0,1.0,0.0,101.0,173.0,1049.0,88.0,23.0,41.0,0.949275,2031.0,0.222222,1.0,0.0,0.118012,0.0,0.0,42.021277,16.0,3.7021,1.0
4.0,1.0,0.0,6.0,16.0,0.0,5.0,1.0,3.0,1.095238,218.0,1.0,0.0,0.0,0.333333,0.0,0.0,51.75,62.0,20.5,1.0
21.0,5.0,0.0,36.0,139.0,74.0,23.0,21.0,14.0,0.566667,785.0,1.0,5.0,0.970282,0.206349,1.0,1.0,36.095238,29.0,3.2381,1.0
8.0,6.0,0.0,6.0,31.0,20.0,4.0,4.0,1.0,0.761905,121.0,0.666667,1.0,0.991111,0.5,4.0,12.0,13.75,1.0,0.75,-1.0
6.0,1.0,11.0,31.0,13.0,9.0,31.0,1.0,6.0,0.4,45.0,1.0,1.0,0.0,0.583333,0.0,0.0,6.333333,1.0,0.8333,-1.0
14.0,6.0,0.0,14.0,87.0,51.0,5.0,13.0,1.0,0.817308,497.0,1.0,1.0,0.980938,0.5,4.0,12.0,33.928571,3.0,1.4286,1.0
3.0,7.0,0.0,5.0,27.0,3.0,1.0,5.0,3.0,1.0,110.0,1.0,0.0,0.99696,0.666667,0.0,0.0,35.333333,1.0,0.6667,1.0
4.0,2.0,0.0,2.0,6.0,0.0,2.0,0.0,3.0,2.0,83.0,0.0,0.0,0.842105,0.5625,1.0,11.0,19.75,3.0,1.25,-1.0
22.0,1.0,0.0,29.0,95.0,137.0,9.0,22.0,16.0,0.785714,1219.0,0.666667,2.0,0.0,0.209524,0.0,0.0,54.136364,14.0,2.0455,1.0
7.0,5.0,0.0,15.0,59.0,5.0,4.0,15.0,2.0,0.633333,389.0,1.0,1.0,0.990895,0.371429,0.0,0.0,53.857143,8.0,2.0,-1.0
4.0,2.0,0.0,7.0,20.0,0.0,1.0,6.0,3.0,0.0,79.0,1.0,0.0,0.7,0.5,1.0,1.0,18.5,3.0,1.25,-1.0
14.0,1.0,0.0,8.0,32.0,29.0,6.0,7.0,11.0,0.653846,485.0,1.0,3.0,0.0,0.223214,0.0,0.0,33.071429,8.0,3.5,1.0
1.0,1.0,0.0,10.0,2.0,0.0,9.0,1.0,1.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,-1.0
4.0,5.0,0.0,6.0,17.0,0.0,4.0,5.0,2.0,0.5,61.0,1.0,1.0,0.995856,0.416667,0.0,0.0,13.75,2.0,1.0,-1.0
27.0,1.0,0.0,7.0,39.0,87.0,3.0,6.0,19.0,0.873932,1342.0,1.0,3.0,0.0,0.230453,0.0,0.0,48.037037,15.0,3.9259,1.0
1.0,1.0,0.0,8.0,1.0,0.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
1.0,2.0,0.0,4.0,2.0,0.0,2.0,2.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,-1.0
6.0,1.0,0.0,4.0,7.0,0.0,3.0,1.0,6.0,0.133333,118.0,1.0,0.0,0.0,0.5,0.0,0.0,18.166667,4.0,2.0,-1.0
19.0,6.0,0.0,12.0,60.0,125.0,11.0,8.0,7.0,0.916667,336.0,1.0,1.0,0.973094,0.197368,3.0,6.0,16.157895,3.0,1.0526,-1.0
3.0,2.0,0.0,4.0,8.0,0.0,1.0,3.0,0.0,0.75,151.0,0.5,0.0,0.777778,0.444444,1.0,2.0,48.0,18.0,7.3333,-1.0
5.0,6.0,0.0,7.0,34.0,2.0,3.0,6.0,1.0,0.8,202.0,1.0,2.0,0.993893,0.35,0.0,0.0,38.4,1.0,0.8,-1.0
3.0,2.0,0.0,9.0,7.0,1.0,3.0,6.0,1.0,1.0,30.0,0.0,0.0,0.947368,0.666667,1.0,2.0,8.0,1.0,0.3333,-1.0
2.0,2.0,0.0,10.0,7.0,1.0,1.0,9.0,1.0,1.0,79.0,0.0,0.0,0.947368,0.625,1.0,1.0,38.0,1.0,0.5,-1.0
2.0,2.0,0.0,1.0,5.0,1.0,0.0,1.0,2.0,2.0,14.0,0.0,0.0,0.923077,0.75,0.0,0.0,6.0,1.0,0.5,-1.0
11.0,1.0,3.0,7.0,29.0,33.0,6.0,5.0,8.0,0.633333,141.0,0.666667,0.0,0.0,0.185714,0.0,0.0,11.545455,3.0,1.4545,1.0
9.0,1.0,0.0,12.0,45.0,8.0,10.0,3.0,8.0,0.6875,294.0,0.833333,0.0,0.0,0.333333,0.0,0.0,31.0,10.0,3.0,1.0
7.0,2.0,0.0,4.0,21.0,0.0,1.0,3.0,0.0,0.541667,300.0,1.0,1.0,0.538462,0.333333,1.0,3.0,41.285714,16.0,4.7143,-1.0
6.0,1.0,0.0,3.0,11.0,9.0,1.0,3.0,5.0,0.488889,135.0,1.0,3.0,0.0,0.333333,0.0,0.0,20.0,6.0,1.6667,-1.0
6.0,2.0,0.0,16.0,14.0,3.0,8.0,8.0,5.0,0.666667,92.0,1.0,0.0,0.782609,0.444444,0.0,0.0,13.833333,1.0,0.8333,-1.0
5.0,2.0,0.0,5.0,22.0,0.0,1.0,4.0,0.0,0.125,206.0,1.0,0.0,0.7,0.35,1.0,3.0,39.8,11.0,4.0,-1.0
