wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
3.0,1.0,6.0,13.0,4.0,3.0,12.0,1.0,3.0,2.0,8.0,0.0,0.0,0.0,0.666667,0.0,0.0,1.666667,1.0,0.6667,-1.0
4.0,3.0,2.0,4.0,8.0,4.0,2.0,2.0,2.0,0.857143,122.0,1.0,0.0,0.5,0.583333,0.0,0.0,27.75,1.0,0.75,-1.0
3.0,3.0,0.0,3.0,16.0,3.0,0.0,3.0,3.0,2.0,178.0,0.0,0.0,0.6,0.444444,0.0,0.0,58.333333,3.0,1.3333,1.0
2.0,2.0,0.0,3.0,4.0,1.0,0.0,3.0,2.0,2.0,10.0,0.0,0.0,0.666667,0.666667,0.0,0.0,4.0,1.0,0.5,-1.0
3.0,3.0,0.0,3.0,10.0,1.0,1.0,2.0,3.0,0.5,63.0,1.0,0.0,0.75,0.666667,0.0,0.0,19.0,1.0,0.3333,-1.0
2.0,3.0,0.0,3.0,6.0,0.0,0.0,3.0,2.0,0.0,41.0,0.0,0.0,0.75,0.666667,0.0,0.0,18.5,1.0,0.5,-1.0
2.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,9.0,0.0,0.0,0.857143,0.666667,1.0,1.0,3.5,1.0,0.5,-1.0
2.0,3.0,0.0,4.0,6.0,0.0,0.0,4.0,2.0,0.0,35.0,1.0,1.0,0.75,0.75,0.0,0.0,16.0,1.0,0.5,-1.0
27.0,1.0,0.0,1.0,43.0,13.0,1.0,0.0,13.0,0.600962,1174.0,1.0,0.0,0.0,0.253086,0.0,0.0,42.185185,26.0,5.7407,-1.0
2.0,2.0,0.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,10.0,0.0,0.0,0.666667,0.666667,0.0,0.0,4.0,1.0,0.5,-1.0
10.0,1.0,0.0,3.0,10.0,45.0,3.0,0.0,10.0,2.0,10.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0,1.0,1.0
14.0,1.0,0.0,2.0,25.0,3.0,1.0,1.0,13.0,0.602564,237.0,0.0,0.0,0.0,0.404762,0.0,0.0,15.5,1.0,0.9286,-1.0
7.0,2.0,0.0,8.0,15.0,0.0,0.0,8.0,6.0,0.5,67.0,0.5,0.0,0.666667,0.333333,0.0,0.0,8.285714,1.0,0.1429,-1.0
3.0,3.0,0.0,5.0,17.0,1.0,1.0,4.0,2.0,0.5,98.0,1.0,0.0,0.75,0.75,0.0,0.0,31.0,1.0,0.3333,-1.0
15.0,3.0,0.0,9.0,29.0,15.0,1.0,8.0,11.0,0.6,523.0,0.7,3.0,0.214286,0.285714,1.0,1.0,33.2,10.0,1.7333,-1.0
22.0,1.0,0.0,5.0,38.0,153.0,1.0,4.0,7.0,0.848485,3709.0,0.121212,1.0,0.0,0.380952,0.0,0.0,166.090909,236.0,13.7727,1.0
3.0,1.0,0.0,3.0,4.0,3.0,3.0,0.0,3.0,1.4375,23.0,0.0,2.0,0.0,0.5,0.0,0.0,4.0,2.0,1.0,-1.0
6.0,3.0,0.0,1.0,19.0,15.0,1.0,0.0,4.0,1.12,184.0,0.0,0.0,0.8125,0.5,1.0,1.0,28.833333,14.0,2.8333,-1.0
7.0,2.0,0.0,6.0,13.0,0.0,1.0,5.0,6.0,0.5,197.0,0.5,0.0,0.666667,0.333333,0.0,0.0,26.857143,1.0,0.1429,-1.0
7.0,3.0,0.0,5.0,13.0,15.0,2.0,3.0,7.0,0.333333,106.0,1.0,0.0,0.5,0.514286,0.0,0.0,13.857143,3.0,0.7143,-1.0
9.0,1.0,0.0,13.0,16.0,0.0,13.0,0.0,9.0,0.6,152.0,0.2,0.0,0.0,0.518519,1.0,1.0,15.333333,3.0,1.1111,1.0
2.0,2.0,6.0,7.0,4.0,0.0,6.0,1.0,1.0,0.0,13.0,1.0,1.0,0.666667,0.75,0.0,0.0,5.0,1.0,0.5,-1.0
3.0,2.0,3.0,4.0,5.0,1.0,3.0,1.0,1.0,0.5,17.0,1.0,0.0,0.666667,0.666667,0.0,0.0,4.333333,1.0,0.3333,-1.0
2.0,2.0,0.0,3.0,4.0,1.0,0.0,3.0,2.0,2.0,10.0,0.0,0.0,0.666667,0.666667,0.0,0.0,4.0,1.0,0.5,-1.0
2.0,4.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,13.0,0.0,0.0,0.857143,0.666667,1.0,1.0,5.5,2.0,1.0,-1.0
8.0,1.0,0.0,1.0,25.0,22.0,1.0,0.0,6.0,0.428571,126.0,1.0,0.0,0.0,0.178571,0.0,0.0,14.625,5.0,1.375,-1.0
8.0,1.0,0.0,1.0,29.0,16.0,0.0,1.0,6.0,0.142857,330.0,1.0,0.0,0.0,0.314286,0.0,0.0,40.125,8.0,2.5,-1.0
14.0,1.0,0.0,23.0,35.0,0.0,22.0,1.0,14.0,0.5,341.0,0.5,0.0,0.0,0.428571,0.0,0.0,23.214286,5.0,2.5714,1.0
23.0,1.0,0.0,9.0,34.0,93.0,6.0,3.0,22.0,0.704545,726.0,1.0,0.0,0.0,0.198068,0.0,0.0,30.043478,17.0,1.8261,1.0
14.0,2.0,0.0,10.0,38.0,43.0,3.0,7.0,14.0,0.75,246.0,1.0,2.0,0.458333,0.595238,0.0,0.0,16.285714,1.0,0.9286,1.0
6.0,1.0,0.0,6.0,39.0,0.0,1.0,5.0,5.0,0.6,337.0,1.0,1.0,0.0,0.333333,0.0,0.0,54.333333,4.0,1.3333,1.0
10.0,1.0,0.0,18.0,87.0,0.0,1.0,18.0,0.0,0.700855,990.0,1.0,5.0,0.0,0.254545,0.0,0.0,96.7,10.0,2.4,1.0
19.0,1.0,0.0,18.0,51.0,145.0,12.0,6.0,15.0,0.920635,437.0,0.285714,0.0,0.0,0.25731,0.0,0.0,21.631579,7.0,1.4737,1.0
5.0,1.0,0.0,10.0,36.0,2.0,1.0,9.0,0.0,0.625,319.0,1.0,3.0,0.0,0.333333,0.0,0.0,62.0,1.0,0.8,1.0
4.0,1.0,0.0,7.0,38.0,0.0,2.0,5.0,0.0,0.888889,224.0,0.5,3.0,0.0,0.375,0.0,0.0,53.5,2.0,1.0,1.0
24.0,2.0,0.0,9.0,49.0,0.0,0.0,9.0,19.0,0.0,142.0,1.0,1.0,0.705128,0.21875,1.0,5.0,4.875,1.0,0.9583,1.0
2.0,1.0,0.0,2.0,9.0,1.0,1.0,1.0,2.0,2.0,48.0,0.0,0.0,0.0,0.666667,0.0,0.0,23.0,6.0,3.0,-1.0
