wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
10.0,2.0,0.0,0.0,43.0,33.0,0.0,0.0,8.0,0.666667,289.0,1.0,0.0,0.466667,0.48,1.0,1.0,27.8,6.0,2.0,-1.0
11.0,2.0,0.0,0.0,46.0,39.0,0.0,0.0,8.0,0.55,401.0,1.0,1.0,0.4375,0.424242,1.0,2.0,35.272727,5.0,1.7273,-1.0
8.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,8.0,0.0,223.0,1.0,1.0,0.5,0.65625,0.0,0.0,26.625,5.0,1.625,-1.0
10.0,1.0,3.0,0.0,15.0,35.0,0.0,0.0,10.0,0.851852,66.0,1.0,0.0,0.0,0.3,0.0,0.0,5.3,2.0,1.0,-1.0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
4.0,4.0,4.0,0.0,8.0,6.0,0.0,0.0,4.0,2.0,20.0,0.0,0.0,1.0,0.666667,0.0,0.0,4.0,0.0,0.0,-1.0
8.0,1.0,9.0,0.0,18.0,28.0,0.0,0.0,7.0,1.142857,55.0,0.0,0.0,0.0,0.55,0.0,0.0,5.625,4.0,1.25,-1.0
5.0,1.0,2.0,0.0,6.0,10.0,0.0,0.0,5.0,2.0,8.0,0.0,0.0,0.0,0.6,1.0,1.0,0.6,1.0,0.8,-1.0
5.0,1.0,1.0,0.0,6.0,10.0,0.0,0.0,5.0,2.0,8.0,0.0,0.0,0.0,0.533333,0.0,0.0,0.6,1.0,0.8,-1.0
2.0,1.0,6.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.75,0.0,0.0,1.5,1.0,0.5,-1.0
10.0,2.0,0.0,0.0,46.0,31.0,0.0,0.0,8.0,0.777778,330.0,1.0,0.0,0.5,0.611111,2.0,2.0,31.8,6.0,1.6,-1.0
3.0,2.0,3.0,0.0,4.0,3.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,0.666667,0.666667,0.0,0.0,1.0,1.0,0.6667,-1.0
4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.666667,28.0,1.0,0.0,0.0,0.4375,0.0,0.0,5.25,1.0,0.75,-1.0
4.0,5.0,1.0,0.0,8.0,6.0,0.0,0.0,4.0,2.0,20.0,0.0,0.0,1.0,0.666667,0.0,0.0,4.0,0.0,0.0,-1.0
4.0,5.0,1.0,0.0,8.0,6.0,0.0,0.0,4.0,2.0,20.0,0.0,0.0,1.0,0.666667,0.0,0.0,4.0,0.0,0.0,-1.0
4.0,5.0,1.0,0.0,8.0,6.0,0.0,0.0,4.0,2.0,20.0,0.0,0.0,1.0,0.666667,0.0,0.0,4.0,0.0,0.0,-1.0
6.0,2.0,3.0,0.0,7.0,15.0,0.0,0.0,6.0,2.0,9.0,0.0,0.0,0.444444,0.611111,0.0,0.0,0.5,1.0,0.8333,-1.0
