wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
12.0,3.0,0.0,8.0,30.0,64.0,1.0,7.0,11.0,1.0,93.0,1.0,0.0,0.920455,0.606061,1.0,2.0,6.583333,1.0,0.5833,-1.0
15.0,4.0,0.0,22.0,89.0,51.0,1.0,22.0,11.0,0.826531,776.0,0.857143,1.0,0.847826,0.373333,2.0,2.0,49.8,5.0,1.4667,-1.0
3.0,1.0,0.0,1.0,10.0,1.0,1.0,0.0,2.0,0.5,84.0,0.0,0.0,0.0,0.5,0.0,0.0,26.666667,10.0,3.3333,-1.0
37.0,1.0,0.0,16.0,92.0,0.0,3.0,13.0,34.0,0.5,438.0,1.0,1.0,0.0,0.177778,1.0,1.0,10.783784,12.0,1.1351,-1.0
3.0,2.0,0.0,4.0,8.0,3.0,1.0,3.0,3.0,2.0,23.0,0.0,0.0,0.984615,0.5,1.0,1.0,6.666667,1.0,0.3333,-1.0
3.0,1.0,0.0,3.0,11.0,3.0,1.0,2.0,2.0,2.0,41.0,0.0,0.0,0.0,0.666667,0.0,0.0,12.666667,2.0,1.0,-1.0
3.0,1.0,0.0,4.0,8.0,1.0,3.0,1.0,0.0,0.5,45.0,1.0,0.0,0.0,0.5,0.0,0.0,13.666667,2.0,0.6667,-1.0
0.0,1.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3.0,1.0,0.0,9.0,3.0,3.0,8.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,1.0,1.0,-1.0
3.0,2.0,0.0,2.0,6.0,3.0,0.0,2.0,1.0,2.0,12.0,0.0,0.0,0.714286,0.666667,1.0,2.0,3.0,1.0,0.6667,-1.0
3.0,2.0,0.0,2.0,6.0,3.0,0.0,2.0,1.0,2.0,12.0,0.0,0.0,0.714286,0.666667,1.0,2.0,3.0,1.0,0.6667,-1.0
6.0,1.0,4.0,12.0,18.0,7.0,4.0,8.0,3.0,0.666667,99.0,1.0,1.0,0.0,0.416667,0.0,0.0,15.0,4.0,1.8333,-1.0
3.0,2.0,0.0,2.0,6.0,3.0,0.0,2.0,1.0,2.0,12.0,0.0,0.0,0.714286,0.666667,1.0,2.0,3.0,1.0,0.6667,-1.0
3.0,2.0,0.0,2.0,6.0,3.0,0.0,2.0,1.0,2.0,12.0,0.0,0.0,0.714286,0.666667,1.0,2.0,3.0,1.0,0.6667,-1.0
3.0,1.0,0.0,5.0,12.0,0.0,0.0,5.0,3.0,0.875,61.0,0.75,1.0,0.0,0.555556,0.0,0.0,18.0,4.0,1.6667,1.0
2.0,1.0,0.0,1.0,10.0,1.0,0.0,1.0,2.0,2.0,42.0,0.0,0.0,0.0,0.75,0.0,0.0,20.0,4.0,2.0,-1.0
